
Integration time [ms]:  90,000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
323,657;   79,550;    0,000;    0,000
323,676;  109,200;    0,000;    0,000
323,694;   75,000;    0,000;    0,000
323,713;   61,350;    0,000;    0,000
323,731;   77,750;    0,000;    0,000
323,750;   82,700;    0,000;    0,000
323,768;  111,900;    0,000;    0,000
323,787;   63,200;    0,000;    0,000
323,805;  123,950;    0,000;    0,000
323,824;  130,000;    0,000;    0,000
323,843;  145,900;    0,000;    0,000
323,861;  162,100;    0,000;    0,000
323,880;   87,050;    0,000;    0,000
323,898;   60,550;    0,000;    0,000
323,917;   99,900;    0,000;    0,000
323,935;  121,400;    0,000;    0,000
323,954;   92,450;    0,000;    0,000
323,972;  102,950;    0,000;    0,000
323,991;  124,600;    0,000;    0,000
324,009;  111,650;    0,000;    0,000
324,028;  145,100;    0,000;    0,000
324,046;  131,450;    0,000;    0,000
324,065;  170,400;    0,000;    0,000
324,083;  137,850;    0,000;    0,000
324,102;   96,800;    0,000;    0,000
324,121;  110,000;    0,000;    0,000
324,139;  201,100;    0,000;    0,000
324,158;  188,900;    0,000;    0,000
324,176;  176,300;    0,000;    0,000
324,195;  269,550;    0,000;    0,000
324,213;  238,200;    0,000;    0,000
324,232;  198,200;    0,000;    0,000
324,250;  250,950;    0,000;    0,000
324,269;  193,450;    0,000;    0,000
324,287;  204,800;    0,000;    0,000
324,306;  174,350;    0,000;    0,000
324,324;  216,150;    0,000;    0,000
324,342;  219,750;    0,000;    0,000
324,361;  161,850;    0,000;    0,000
324,379;  146,950;    0,000;    0,000
324,398;  225,750;    0,000;    0,000
324,416;  175,200;    0,000;    0,000
324,435;  209,400;    0,000;    0,000
324,453;  221,150;    0,000;    0,000
324,472;  282,100;    0,000;    0,000
324,490;  301,750;    0,000;    0,000
324,509;  295,400;    0,000;    0,000
324,527;  280,900;    0,000;    0,000
324,546;  321,500;    0,000;    0,000
324,564;  327,400;    0,000;    0,000
324,583;  425,850;    0,000;    0,000
324,601;  346,350;    0,000;    0,000
324,619;  408,150;    0,000;    0,000
324,638;  399,000;    0,000;    0,000
324,656;  440,050;    0,000;    0,000
324,675;  466,150;    0,000;    0,000
324,693;  604,750;    0,000;    0,000
324,712;  540,300;    0,000;    0,000
324,730;  433,950;    0,000;    0,000
324,748;  417,950;    0,000;    0,000
324,767;  421,950;    0,000;    0,000
324,785;  425,200;    0,000;    0,000
324,804;  526,750;    0,000;    0,000
324,822;  520,750;    0,000;    0,000
324,841;  585,400;    0,000;    0,000
324,859;  685,100;    0,000;    0,000
324,877;  759,850;    0,000;    0,000
324,896;  692,850;    0,000;    0,000
324,914;  619,400;    0,000;    0,000
324,933;  801,400;    0,000;    0,000
324,951;  762,100;    0,000;    0,000
324,969;  711,900;    0,000;    0,000
324,988;  799,100;    0,000;    0,000
325,006;  761,650;    0,000;    0,000
325,025;  730,600;    0,000;    0,000
325,043;  728,750;    0,000;    0,000
325,061;  929,950;    0,000;    0,000
325,080; 1078,500;    0,000;    0,000
325,098; 1301,400;    0,000;    0,000
325,117; 1914,050;    0,000;    0,000
325,135; 3273,050;    0,000;    0,000
325,153; 5148,200;    0,000;    0,000
325,172; 6284,400;    0,000;    0,000
325,190; 4569,050;    0,000;    0,000
325,208; 2167,450;    0,000;    0,000
325,227; 1161,200;    0,000;    0,000
325,245;  778,450;    0,000;    0,000
325,264;  721,050;    0,000;    0,000
325,282;  614,850;    0,000;    0,000
325,300;  513,450;    0,000;    0,000
325,319;  450,750;    0,000;    0,000
325,337;  427,050;    0,000;    0,000
325,355;  419,600;    0,000;    0,000
325,374;  412,400;    0,000;    0,000
325,392;  351,950;    0,000;    0,000
325,410;  396,250;    0,000;    0,000
325,429;  341,250;    0,000;    0,000
325,447;  387,850;    0,000;    0,000
325,465;  353,950;    0,000;    0,000
325,484;  330,400;    0,000;    0,000
325,502;  435,200;    0,000;    0,000
325,520;  397,700;    0,000;    0,000
325,539;  332,900;    0,000;    0,000
325,557;  337,600;    0,000;    0,000
325,575;  412,700;    0,000;    0,000
325,594;  415,700;    0,000;    0,000
325,612;  455,000;    0,000;    0,000
325,630;  421,900;    0,000;    0,000
325,649;  455,250;    0,000;    0,000
325,667;  582,400;    0,000;    0,000
325,685;  547,500;    0,000;    0,000
325,703;  512,800;    0,000;    0,000
325,722;  575,850;    0,000;    0,000
325,740;  678,500;    0,000;    0,000
325,758;  780,200;    0,000;    0,000
325,777; 1017,750;    0,000;    0,000
325,795; 1526,050;    0,000;    0,000
325,813; 2599,050;    0,000;    0,000
325,831; 4483,300;    0,000;    0,000
325,850; 7365,300;    0,000;    0,000
325,868;12444,450;    0,000;    0,000
325,886;19910,250;    0,000;    0,000
325,905;31430,300;    0,000;    0,000
325,923;42401,150;    0,000;    0,000
325,941;52933,550;    0,000;    0,000
325,959;64668,350;    0,000;    0,000
325,978;64674,400;    0,000;    0,000
325,996;64668,350;    0,000;    0,000
326,014;64674,400;    0,000;    0,000
326,032;64668,350;    0,000;    0,000
326,051;64674,400;    0,000;    0,000
326,069;64668,350;    0,000;    0,000
326,087;64674,400;    0,000;    0,000
326,105;64668,350;    0,000;    0,000
326,124;64674,400;    0,000;    0,000
326,142;64668,350;    0,000;    0,000
326,160;64674,400;    0,000;    0,000
326,178;64668,350;    0,000;    0,000
326,197;64674,400;    0,000;    0,000
326,215;64668,350;    0,000;    0,000
326,233;43784,700;    0,000;    0,000
326,251; 2804,250;    0,000;    0,000
326,270; 2189,950;    0,000;    0,000
326,288; 1825,650;    0,000;    0,000
326,306; 1551,450;    0,000;    0,000
326,324; 1397,400;    0,000;    0,000
326,342; 1392,250;    0,000;    0,000
326,361; 1243,000;    0,000;    0,000
326,379; 1121,750;    0,000;    0,000
326,397;  991,850;    0,000;    0,000
326,415;  972,800;    0,000;    0,000
326,434;  969,950;    0,000;    0,000
326,452;  945,550;    0,000;    0,000
326,470;  870,250;    0,000;    0,000
326,488;  894,200;    0,000;    0,000
326,506;  851,450;    0,000;    0,000
326,525;  729,850;    0,000;    0,000
326,543;  734,850;    0,000;    0,000
326,561;  755,850;    0,000;    0,000
326,579;  810,200;    0,000;    0,000
326,597;  728,650;    0,000;    0,000
326,615;  697,300;    0,000;    0,000
326,634;  634,150;    0,000;    0,000
326,652;  578,850;    0,000;    0,000
