
Integration time [ms]:  14,000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804341U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
328,511;   -3,950;    0,000;    0,000
328,529;   -3,050;    0,000;    0,000
328,546;   -3,950;    0,000;    0,000
328,564;   13,850;    0,000;    0,000
328,582;   -0,450;    0,000;    0,000
328,600;    6,650;    0,000;    0,000
328,618;    4,200;    0,000;    0,000
328,636;   16,800;    0,000;    0,000
328,654;   16,650;    0,000;    0,000
328,672;    0,650;    0,000;    0,000
328,690;   -6,650;    0,000;    0,000
328,708;   -1,800;    0,000;    0,000
328,725;    8,200;    0,000;    0,000
328,743;    0,800;    0,000;    0,000
328,761;   21,600;    0,000;    0,000
328,779;   10,550;    0,000;    0,000
328,797;   19,500;    0,000;    0,000
328,815;   28,550;    0,000;    0,000
328,833;  -14,850;    0,000;    0,000
328,851;    7,900;    0,000;    0,000
328,869;    6,250;    0,000;    0,000
328,886;   -3,550;    0,000;    0,000
328,904;   -6,600;    0,000;    0,000
328,922;   10,100;    0,000;    0,000
328,940;   -3,200;    0,000;    0,000
328,958;   -0,650;    0,000;    0,000
328,976;  -21,850;    0,000;    0,000
328,994;   13,850;    0,000;    0,000
329,011;    7,500;    0,000;    0,000
329,029;   -5,500;    0,000;    0,000
329,047;  -10,150;    0,000;    0,000
329,065;   -1,600;    0,000;    0,000
329,083;   20,400;    0,000;    0,000
329,101;   13,600;    0,000;    0,000
329,118;    8,600;    0,000;    0,000
329,136;   17,400;    0,000;    0,000
329,154;    5,250;    0,000;    0,000
329,172;    0,100;    0,000;    0,000
329,190;  -23,550;    0,000;    0,000
329,208;    6,000;    0,000;    0,000
329,225;    6,150;    0,000;    0,000
329,243;   13,350;    0,000;    0,000
329,261;   17,150;    0,000;    0,000
329,279;    1,550;    0,000;    0,000
329,297;   23,950;    0,000;    0,000
329,315;   20,700;    0,000;    0,000
329,332;    5,600;    0,000;    0,000
329,350;    3,500;    0,000;    0,000
329,368;   13,100;    0,000;    0,000
329,386;   18,500;    0,000;    0,000
329,404;    0,300;    0,000;    0,000
329,421;    6,900;    0,000;    0,000
329,439;   -0,250;    0,000;    0,000
329,457;   -6,150;    0,000;    0,000
329,475;  -13,550;    0,000;    0,000
329,492;   13,500;    0,000;    0,000
329,510;   -2,950;    0,000;    0,000
329,528;   16,150;    0,000;    0,000
329,546;   18,000;    0,000;    0,000
329,564;   20,150;    0,000;    0,000
329,581;    6,600;    0,000;    0,000
329,599;    9,100;    0,000;    0,000
329,617;   -9,000;    0,000;    0,000
329,635;   13,950;    0,000;    0,000
329,652;    1,000;    0,000;    0,000
329,670;   -1,350;    0,000;    0,000
329,688;    8,050;    0,000;    0,000
329,706;    6,700;    0,000;    0,000
329,723;   22,700;    0,000;    0,000
329,741;   14,400;    0,000;    0,000
329,759;  -10,350;    0,000;    0,000
329,777;   10,950;    0,000;    0,000
329,794;   -1,650;    0,000;    0,000
329,812;    6,750;    0,000;    0,000
329,830;    4,900;    0,000;    0,000
329,848;   10,000;    0,000;    0,000
329,865;    6,500;    0,000;    0,000
329,883;    0,500;    0,000;    0,000
329,901;   -7,950;    0,000;    0,000
329,919;   35,650;    0,000;    0,000
329,936;   -1,050;    0,000;    0,000
329,954;   -0,550;    0,000;    0,000
329,972;   -0,600;    0,000;    0,000
329,989;    3,250;    0,000;    0,000
330,007;    5,100;    0,000;    0,000
330,025;   11,200;    0,000;    0,000
330,043;   -0,650;    0,000;    0,000
330,060;   15,100;    0,000;    0,000
330,078;  -11,250;    0,000;    0,000
330,096;    2,850;    0,000;    0,000
330,113;    9,400;    0,000;    0,000
330,131;    4,700;    0,000;    0,000
330,149;   13,300;    0,000;    0,000
330,166;  -12,900;    0,000;    0,000
330,184;   -1,700;    0,000;    0,000
330,202;   -4,650;    0,000;    0,000
330,220;   13,400;    0,000;    0,000
330,237;   17,200;    0,000;    0,000
330,255;    3,500;    0,000;    0,000
330,273;  -11,950;    0,000;    0,000
330,290;   -3,500;    0,000;    0,000
330,308;   -1,600;    0,000;    0,000
330,326;    2,700;    0,000;    0,000
330,343;   14,850;    0,000;    0,000
330,361;    0,300;    0,000;    0,000
330,379;   -0,750;    0,000;    0,000
330,396;    4,400;    0,000;    0,000
330,414;    7,550;    0,000;    0,000
330,432;   10,250;    0,000;    0,000
330,449;  -13,350;    0,000;    0,000
330,467;   10,200;    0,000;    0,000
330,484;    1,150;    0,000;    0,000
330,502;    5,850;    0,000;    0,000
330,520;   -4,500;    0,000;    0,000
330,537;    5,900;    0,000;    0,000
330,555;   -9,850;    0,000;    0,000
330,573;   11,850;    0,000;    0,000
330,590;   15,800;    0,000;    0,000
330,608;    4,550;    0,000;    0,000
330,626;   10,450;    0,000;    0,000
330,643;    3,300;    0,000;    0,000
330,661;    5,300;    0,000;    0,000
330,678;    6,050;    0,000;    0,000
330,696;   -5,050;    0,000;    0,000
330,714;    1,400;    0,000;    0,000
